stock,name,year,month,price,sector,subsector,PE,P_FCF,ROA,ROC,ROE,OPROE,EPS_GROWTH,EBIT,EBIT_MARGIN
CVH US Equity,COVENTRY HEALTH CARE INC,2019,1,50.1,Health Care,Health Care Equipment & Services,14.0109,35.5775,5.0265,8.6853,10.4489,8.3184,48.3333,178.534,5.3828
CVS US Equity,CVS HEALTH CORP,2019,1,65.95,Consumer Services,Food & Drug Retailers,11.4028,10.0397,2.7741,5.9548,8.7072,16.3465,7.9365,2353,3.0948
CVX US Equity,CHEVRON CORP,2019,1,113.8,Oil & Gas,Oil & Gas Producers,13.493,12.9315,5.5514,7.8038,9.4609,9.1153,106.7961,4157,7.5619
CXO US Equity,CONCHO RESOURCES INC,2019,1,121.49,Oil & Gas,Oil & Gas Producers,27.725,425.2168,5.3758,6.9515,7.996,5.0913,-36.3636,356,48.9802
CXP NA Equity,CORPORATE EXPRESS NV,2019,1,9,Consumer Services,General Retailers,20.4821,13.548400000000001,4.3882,5.9578,11.4018,5.3611,0,57.974,4.2253
CZZ GY Equity,CELANESE AG,2019,1,71.76,Basic Materials,Chemicals,17.7465,6.4858,5.4489,15.7395,157.7466,154.5908,23.9464,149.6935748,9.3212
D US Equity,DOMINION ENERGY INC,2019,1,69.44,Utilities,Electricity,17.3095,156.4028,4.037,7.5319,17.9453,15.7542,27.1845,1150,28.5358
DAI GY Equity,DAIMLER AG-REGISTERED SHARES,2019,1,52.11,Consumer Goods,Automobiles & Parts,7.6317,140.7439,3.3413,4.9705,14.1364,13.9885,-21.393,2254.672,6.5522
DAL US Equity,DELTA AIR LINES INC,2019,1,50.07,Consumer Services,Travel & Leisure,8.7829,19.6081,6.8512,10.0295,29.7746,29.6296,257.1429,1090,11.8187
DB1 GY Equity,DEUTSCHE BOERSE AG,2019,1,116,Financials,Financial Services,26.065,16.0154,0.5785,14.258,18.8464,19.8745,11.9266,375.96999999999997,48.7142
DB11 GY Equity,DEUTSCHE BOERSE AG-TENDER,2019,1,86.37,Financials,Financial Services,NA,NA,0.5785,14.258,18.8464,19.8745,11.9266,375.96999999999997,48.7142
DBK GY Equity,DEUTSCHE BANK AG-REGISTERED,2019,1,8.102,Financials,Banks,22.3905,2.2544,-0.1188,-0.4722,-3.1422,-0.0535,-67.7419,NA,NA
DCC ID Equity,DCC PLC,2019,1,28.64,Industrials,Support Services,18.5399,15.0158,3.9216,9.0164,14.9045,15.6937,16.5086,135.0922776,2.0462
DD US Equity,DUPONT DE NEMOURS INC,2019,1,77.5001,NA,NA,27.713,30.3181,-4.7002,-5.7286,-6.9919,1.3766,-825.3725,-397,-18.7374
DDR US Equity,DDR CORP,2019,1,13.14,Financials,Real Estate Investment Trusts,60.7256,10.9243,-4.64,-4.9355,-15.5109,-2.0777,-125,2.303,-20.3659
DDS US Equity,DILLARDS INC-CL A,2019,1,66.93,Consumer Services,General Retailers,11.3096,13.2387,6.8145,3.2836,15.2459,10.6203,82.7586,10.493,4.5873
DE NA Equity,OAK 1753 BV,2019,1,12.43,Consumer Goods,Beverages,37.7273,35.0595,9.0552,25.2902,57.2231,78.0922,50,292.371492,9.5018
DE US Equity,DEERE & CO,2019,1,162.43,Industrials,Industrial Engineering,16.159300000000002,847.3561,3.4855,5.9386,22.7228,29.4774,54.0881,1301.5,14.1184
DEC FP Equity,JCDECAUX SA,2019,1,26.2,Consumer Services,Media,25.0476,60.5804,3.4074999999999998,5.8318,7.7621,8.812100000000001,-22.6361,47.7568,6.8925
DELB BB Equity,DELHAIZE GROUP,2019,1,102.05,Consumer Services,Food & Drug Retailers,23.4257,40.1306,3.6468,7.1845,7.6762,9.1738,9.5481,249.11599999999999,3.1044
DELL US Equity,DELL TECHNOLOGIES -C,2019,1,47.83,Technology,Software & Computer Services,14.6833,4.2084,-2.0691,-0.7271,-22.759,3.1404,12.7273,-13,-1.0456
DEQ GY Equity,DEUTSCHE EUROSHOP AG,2019,1,27.46,Financials,Real Estate Investment & Services,21.1303,12.1345,2.8582,3.4953,6.0619,5.8481,-12,50.314544,79.5002
DEXB BB Equity,DEXIA SA,2019,1,3.51,Financials,Banks,0.0566,0.2136,0.1593,0.2286,8.541,-48.336,363.2595,NA,NA
DF US Equity,DEAN FOODS CO,2019,1,4.1,Consumer Goods,Food Producers,10.491,10.1165,-0.5951,1.9797,-2.4582,6.2172,-163.6364,-25.783,-0.2616
DFS US Equity,DISCOVER FINANCIAL SERVICES,2019,1,67.19,Financials,Financial Services,8.6415,4.7237,2.6159,7.2563,25.7542,25.7542,106.0606,1502,NA
DG FP Equity,VINCI SA,2019,1,77.18,Industrials,Construction & Materials,14.2955,13.9162,4.4113,8.8139,17.7127,17.4151,25.8065,2400.468,11.1285
DG US Equity,DOLLAR GENERAL CORP,2019,1,115.07,Consumer Services,General Retailers,20.2612,21.1154,13.8583,20.339,28.7879,23.9658,41.6667,545.476,8.4444
DGO ID Equity,DRAGON OIL PLC,2019,1,10.948,Oil & Gas,Oil & Gas Producers,11.959,48.0602,10.4299,13.9064,13.8599,13.8599,-51.9306,205.63894399999998,37.1021
DGX GR Equity,EVONIK DEGUSSA GMBH,2019,1,47,Basic Materials,Chemicals,23.1568,130.8986,5.3939,14.3279,17.804,19.1776,37.3418,2136.428,12.7992
DGX US Equity,QUEST DIAGNOSTICS INC,2019,1,85.34,Health Care,Health Care Equipment & Services,14.9536,14.5405,8.056,12.0218,17.0112,16.1804,32.2034,304,15.076
DHER GY Equity,DELIVERY HERO SE,2019,1,32,Consumer Services,General Retailers,NA,NA,-18.7539,NA,-26.3325,-25.3821,59.0604,-130.9868,-35.6384
DHI US Equity,DR HORTON INC,2019,1,37.65,Consumer Goods,Household Goods & Home Construction,9.4385,121.459,11.3352,12.725,18.3245,18.3514,54,367.1,12.2861
DHR US Equity,DANAHER CORP,2019,1,108.64,Industrials,General Industrials,29.5173,23.0898,5.6115,7.4211,9.7071,9.7795,-13.8211,962.6,17.1105
DIA IM Equity,DIASORIN SPA,2019,1,81.6,Health Care,Health Care Equipment & Services,28.0696,25.1122,17.5877,18.8304,23.9764,24.9347,25.3137,53.15239999999999,28.4938
DIA SQ Equity,DISTRIBUIDORA INTERNACIONAL,2019,1,0.4445,Consumer Services,Food & Drug Retailers,14.7841,112.097,1.4487,33.1143,21.3716,102.6844,-79.3111,30.311791999999997,2.2927
DIM FP Equity,SARTORIUS STEDIM BIOTECH,2019,1,98.7,Health Care,Health Care Equipment & Services,42.7258,200.2742,13.985,20.1665,21.8035,22.6909,54.1468,112.54417999999998,24.7688
DIS US Equity,WALT DISNEY CO/THE,2019,1,110.1,Consumer Services,Media,16.0873,17.587,12.9618,18.6895,27.9682,23.2639,36.8421,3078,24.9083
DISCA US Equity,DISCOVERY INC - A,2019,1,27.38,Consumer Services,Media,15.2476,6.0481,-2.9221,-0.7838,-13.0629,16.0019,-57.8947,369,4.0175
DISCK US Equity,DISCOVERY INC-C,2019,1,25.47,Consumer Services,Media,14.3181,5.6794,-2.9221,-0.7838,-13.0629,16.0019,-57.8947,369,4.0175
DISH US Equity,DISH NETWORK CORP-A,2019,1,29.98,Consumer Services,Media,10.3169,6.7476,8.7951,11.7562,38.0309,21.8641,43.75,562.703,13.9448
DJ US Equity,DOW JONES & CO INC,2019,1,59.99,Consumer Services,Media,49.5702,28.6342,12.8179,27.4214,55.5681,23.3765,6.6667,28.798,8.8553
DL NA Equity,DELTA LLOYD NV,2019,1,5.325,Financials,Life Insurance,4.7439,2.0433,0.3085,NA,8.0367,8.2322,884.6856,NA,NA
DLG GY Equity,DIALOG SEMICONDUCTOR PLC,2019,1,25.3,Technology,Technology Hardware & Equipment,15.4783,8.2439,10.8286,12.2744,12.5012,14.2227,-3.0769,72.88422399999999,13.4236
DLPH US Equity,DELPHI TECHNOLOGIES PLC,2019,1,17.76,Consumer Goods,Automobiles & Parts,4.1178,10.3147,7.1768,17.6894,39.8003,57.7746,-50,81,8.9831
DLR US Equity,DIGITAL REALTY TRUST INC,2019,1,107.24,Financials,Real Estate Investment Trusts,108.4198,222.9919,1.6551,1.8556,3.0285,1.9009,-11.1111,139.065,18.14
DLTR US Equity,DOLLAR TREE INC,2019,1,96.15,Consumer Services,General Retailers,18.427,19.7577,10.8383,14.0652,25.384,18.1581,16.1616,382.5,8.8366
DLX US Equity,DELUXE CORP,2019,1,47.42,Industrials,Support Services,8.4553,7.8968,6.9112,9.8432,16.0471,27.6028,-21.0227,86.5,11.9992
DNB US Equity,DUN & BRADSTREET CORP,2019,1,144.6,Consumer Services,Media,20.3981,21.6253,11.0245,37.9126,407.7634,457.4122,-7.5342,82.2,25.6403
DNR US Equity,DENBURY RESOURCES INC,2019,1,2.14,Oil & Gas,Oil & Gas Producers,4.6134,4.7829,6.054,8.9907,37.1463,29.55,75,90.265,28.522
DO US Equity,DIAMOND OFFSHORE DRILLING,2019,1,11.25,Oil & Gas,"Oil Equipment, Services & Distribution",40.4524,154.7788,-2.1686,-0.6376,-3.5684,-2.9378,-17.6471,-23.043,-6.7918
DOV US Equity,DOVER CORP,2019,1,88.84,Industrials,Industrial Engineering,20.5241,20.1718,5.9952,9.7556,15.9474,19.004,-41.9355,218.773,11.9585
DOW US Equity,DOW INC,2019,1,NA,Basic Materials,Chemicals,17.8807,50.4895,NA,NA,NA,NA,NA,NA,NA
DPB GY Equity,DEUTSCHE POSTBANK AG,2019,1,35.73,Financials,Banks,38.5649,NA,0.1709,0.9738,3.4882,7.9651,115.625,NA,NA
DPH US Equity,DELPHI CORP,2019,1,0.37,Consumer Goods,Automobiles & Parts,NA,NA,35.8814,10.3265,-3.4461,23.3083,-9.6774,-357,-13.8341
DPS US Equity,DR PEPPER SNAPPLE GROUP INC,2019,1,120,Consumer Goods,Beverages,27.3533,27.5826,3.5535,5.71,8.5988,6.8995,-26.6667,344,16.9064
DPW GY Equity,DEUTSCHE POST AG-REG,2019,1,25.84,Industrials,Industrial Transportation,15.2686,11.8938,4.9488,12.4329,17.6498,17.4905,-77.3585,375.39599999999996,5.1998
DRC SQ Equity,GRUPO DRAGADOS SA,2019,1,18.25,Industrials,Construction & Materials,12.9857,NA,4.0594,NA,21.2154,21.2154,12.3891,96.24487599999999,4.7605
DRE US Equity,DUKE REALTY CORP,2019,1,29.88,Financials,Real Estate Investment Trusts,28.8017,NA,5.0517,5.3903,8.3324,7.9653,5.8824,62.943,23.5887
DRF FP Equity,FINAXA,2019,1,96.15,Financials,Financial Services,20.2989,NA,1.6614,1.7059,2.3696,2.3696,313.1258,55.104,NA
DRI GY Equity,1&1 DRILLISCH AG,2019,1,37.22,Telecommunications,Mobile Telecommunications,15.7811,27.8856,6.6008,8.5014,8.2187,8.5372,-14.412,168.05916399999998,14.6836
DRI US Equity,DARDEN RESTAURANTS INC,2019,1,105.87,Consumer Services,Travel & Leisure,19.4044,18.645,11.9996,24.8162,29.6823,30.135,40.2062,189.1,9.523
DSM NA Equity,KONINKLIJKE DSM NV,2019,1,82.44,Basic Materials,Chemicals,13.3738,18.1441,7.4196,24.0988,13.6231,14.0073,-85.5586,285.852,13.5138
DSY FP Equity,DASSAULT SYSTEMES SA,2019,1,110.6,Technology,Software & Computer Services,49.6362,34.193,8.4302,NA,14.6627,15.0492,19.0476,200.0964,23.699
DTE GY Equity,DEUTSCHE TELEKOM AG-REG,2019,1,14.235,Telecommunications,Mobile Telecommunications,31.6475,7.6379,2.7862,7.5121,13.0163,27.8229,109.0909,2904.4399999999996,10.3789
DTE US Equity,DTE ENERGY COMPANY,2019,1,115.24,Utilities,Electricity,18.4071,130.612,3.5575,7.3592,12.4208,12.7746,21.8543,429,11.425
DUE GY Equity,DUERR AG,2019,1,36.13,Industrials,Industrial Engineering,15.7884,24.4819,4.2671,9.9,16.9405,15.0721,48.4848,59.55824,6.0337
DUK US Equity,DUKE ENERGY CORP,2019,1,86.09,Utilities,"Gas, Water & Multiutilities",17.9645,90.295,2.0788,4.7299,6.8655,8.5934,11.0294,1579,20.9709
DVA US Equity,DAVITA INC,2019,1,55.8,Health Care,Health Care Equipment & Services,16.3162,12.2029,3.1928,7.9711,14.2304,14.7576,-45.679,289.038,11.3356
DVN US Equity,DEVON ENERGY CORP,2019,1,27.82,Oil & Gas,Oil & Gas Producers,26.4967,2120.8891,8.7909,15.7241,26.1683,7.204,67.7322,115,0.8058
DWDP US Equity,DOWDUPONT INC,2019,1,36.6203,Basic Materials,Chemicals,9.8311,91.2277,2.0221,3.7377000000000002,3.9446,8.7727,120,592,6.2854
DWNI GY Equity,DEUTSCHE WOHNEN SE,2019,1,44,Financials,Real Estate Investment & Services,8.3703,NA,8.493,10.0808,18.3698,3.1302,250,178.39919999999998,236.7822
DXC US Equity,DXC TECHNOLOGY CO,2019,1,64.03,Technology,Software & Computer Services,8.9088,13.7356,5.9847,10.7357,15.7107,20.5584,34.7826,285,7.4425
DYN US Equity,DYNEGY INC,2019,1,13.12,Utilities,Electricity,17.0194,5.3833,0.6123,4.4265,3.2741,8.5916,56.7106,-239,-8.5089
EA US Equity,ELECTRONIC ARTS INC,2019,1,89.98,Consumer Goods,Leisure Goods,19.7542,19.2153,11.8373,21.4731,19.9691,23.9909,-53.8462,258,24.9758
EBAY US Equity,EBAY INC,2019,1,33.76,Consumer Services,General Retailers,19.6354,16.1818,10.3678,4.5611,35.3105,23.71,51.0204,681,20.6775
EBRO SQ Equity,EBRO FOODS SA,2019,1,18.05,Consumer Goods,Food Producers,19.5528,38.0339,5.4793,7.901,10.0595,10.3166,-17.0569,130.15449999999998,9.3369
EBS AV Equity,ERSTE GROUP BANK AG,2019,1,31.13,Financials,Banks,7.5539,NA,0.6805,2.883,11.582,13.0516,25.7677,NA,NA
EC US Equity,ECOPETROL SA-SPONSORED ADR,2019,1,18.52,Oil & Gas,Oil & Gas Producers,NA,NA,10.2738,21.1934,24.7909,23.2748,176.587,5652595,35.1974
ECL US Equity,ECOLAB INC,2019,1,156.26,Basic Materials,Chemicals,30.1989,31.8879,8.0358,12.3333,21.1184,19.4479,11.0294,516.2,13.6883
ECMPA NA Equity,EUROCOMMERCIAL PROPERTIE-CV,2019,1,28.7,Financials,Real Estate Investment Trusts,24.2231,22.327,1.8203,2.0111,3.6829,3.9991,19.697,29.912288,146.9974
ED US Equity,CONSOLIDATED EDISON INC,2019,1,76.03,Utilities,Electricity,18.0298,69.9367,3.1501,6.9535,10.0423,8.7321,-5.4054,826,20.6575
EDEN FP Equity,EDENRED,2019,1,35.51,Industrials,Support Services,32.9512,45.5278,4.0773,37.215,NA,NA,0,246.82,33.3087
EDF FP Equity,EDF,2019,1,14.485,Utilities,Electricity,35.5764,164.0404,1.0389,7.3915,5.5646,4.0372,-10.8477,4190.2,7.8238
EDN IM Equity,EDISON SPA,2019,1,0.6185,Utilities,"Gas, Water & Multiutilities",NA,NA,-1.0735999999999999,-4.41,-1.9312,-1.6923,-11.1381,109.05999999999999,1.32
EDP PL Equity,EDP-ENERGIAS DE PORTUGAL SA,2019,1,3.179,Utilities,Electricity,19.8347,18.0793,0.6389,3.6619,2.8557,5.097,-9.0654,60.843999999999994,7.6849
EDPR PL Equity,EDP RENOVAVEIS SA,2019,1,7.75,Utilities,Electricity,21.8519,NA,1.3648,5.5082,3.5678,3.1585,-32.4105,52.10771999999999,38.9062
EEE GA Equity,COCA-COLA HBC AG-DI,2019,1,29.35,Consumer Goods,Beverages,NA,NA,6.4909,NA,15.5388,15.7477,11.3208,348.87719999999996,9.5963
EEEK GA Equity,COCA-COLA HELLENIC BOTTLING,2019,1,20.31,Consumer Goods,Beverages,38.2403,28.9203,2.6736,5.2411,6.6021,9.7508,12.5,-12.9724,4.8181
EFX US Equity,EQUIFAX INC,2019,1,105.93,Financials,Financial Services,22.4534,37.3678,6.2654,9.2585,14.2055,17.986,-60,64.1,17.3572
EGPW IM Equity,ENEL GREEN POWER SPA,2019,1,1.932,Utilities,Electricity,54.3103,11.2961,0.8454,2.723,2.1002,1.8832,17.4497,151.536,28.6287
EI FP Equity,ESSILOR INTERNATIONAL,2019,1,285.5,Health Care,Health Care Equipment & Services,37.6402,32.7315,5.8687000000000005,9.3577,11.5814,12.8602,-11.1111,669.284,14.315
EIX US Equity,EDISON INTERNATIONAL,2019,1,55.75,Utilities,Electricity,13.6956,39.0767,1.0881,3.3582,3.7696,11.4971,9.0278,739,11.447
EL FP Equity,ESSILORLUXOTTICA,2019,1,110.35,Health Care,Health Care Equipment & Services,27.4545,26.4406,5.8687000000000005,9.3577,11.5814,12.8602,-11.1111,669.284,14.315
EL US Equity,ESTEE LAUDER COMPANIES-CL A,2019,1,134.57,Consumer Goods,Personal Goods,27.6835,28.4432,9.5454,15.1778,25.8509,38.6734,17.2414,652,15.3305
ELE SQ Equity,ENDESA SA,2019,1,21.57,Utilities,Electricity,16.32,23.2181,4.9788,10.6553,16.6252,16.5141,2.0832,680.7639999999999,10.682
ELEB BB Equity,ELECTRABEL SA,2019,1,589.01,Utilities,Electricity,15.0912,19.3238,1.63,17.6188,4.0685,24.7902,12.2519,484.80946919999997,3.2139
ELIOR FP Equity,ELIOR GROUP,2019,1,12.3,Consumer Services,Travel & Leisure,63.3289,16.7238,2.2056,4.3761,7.3846,9.9352,-43.0925,135.9232,3.9692
ELIS FP Equity,ELIS SA,2019,1,14.15,Industrials,Support Services,37.1419,18.9121,1.2534,2.8824,3.5301,10.0531,-7.0893,126.27999999999999,6.6207
ELISA FH Equity,ELISA OYJ,2019,1,38,Telecommunications,Fixed Line Telecommunications,18.4596,20.8671,12.0323,15.1932,29.1597,29.0489,8.8889,112.9632,22.0518
ELN ID Equity,PERRIGO CORP DAC,2019,1,12.73,Health Care,Pharmaceuticals & Biotechnology,111.058,173.0742,131.1812,NA,185.3423,1.1968,91.6667,-4.936399999999999,-254.7009
EMC US Equity,EMC CORP/MA,2019,1,28.75,Technology,Technology Hardware & Equipment,23.0372,11.1622,4.5846,8.1198,9.9491,11.7555,20,882,12.5076
EMN US Equity,EASTMAN CHEMICAL CO,2019,1,81.13,Basic Materials,Chemicals,9.8572,11.1357,6.7513,10.69,19.2754,20.9281,-92.6901,135,15.2891
EMR US Equity,EMERSON ELECTRIC CO,2019,1,65.75,Industrials,Electronic & Electrical Equipment,19.0635,19.7293,11.0208,17.6071,24.942,23.3598,25.2591,784,16.2339
EN FP Equity,BOUYGUES SA,2019,1,31,Industrials,Construction & Materials,8.7281,249.7937,3.098,8.426,13.0467,9.243,6.8702,728.9799999999999,4.3534
ENDP US Equity,ENDO INTERNATIONAL PLC,2019,1,9.55,Health Care,Pharmaceuticals & Biotechnology,87.0163,11.8221,-9.8851,-8.1141,-127.7584,12.319,-44.4444,-12.728,-21.2491
ENE US Equity,ENRON CORP,2019,1,3.2,Oil & Gas,"Oil Equipment, Services & Distribution",NA,NA,0.4269,3.5064,1.7497,15.4787,37.8378,-149,0.9525
ENEL IM Equity,ENEL SPA,2019,1,5.244,Utilities,Electricity,11.1793,12.848,2.5766999999999998,9.4602,12.4649,11.4212,28.6821,2942.3239999999996,13.5821
ENG SQ Equity,ENAGAS SA,2019,1,25.4,Utilities,"Gas, Water & Multiutilities",13.6963,8.2353,4.432,7.3644,16.6526,15.6664,-0.976,165.793012,46.9991
ENGI FP Equity,ENGIE,2019,1,13.92,Utilities,"Gas, Water & Multiutilities",38.5293,33.7987,0.7261,3.1792,2.8919,9.8606,7.6923,2820.636,3.7174
ENI IM Equity,ENI SPA,2019,1,14.728,Oil & Gas,Oil & Gas Producers,12.9647,10.9593,4.8304,8.0572,11.8632,9.4214,343.7073,3959.4519999999998,17.4967
ENX FP Equity,EURONEXT NV,2019,1,53.85,Financials,Financial Services,17.5407,18.5373,23.8787,28.7995,40.6078,38.1801,32.7273,83.22999999999999,50.9529
EO FP Equity,FAURECIA,2019,1,38.53,Consumer Goods,Automobiles & Parts,7.4715,5.3951,5.3837,15.1767,19.9925,21.1288,9.3181,663.544,6.1531
EOAN GY Equity,E.ON SE,2019,1,9.6,Utilities,"Gas, Water & Multiutilities",7.1088,28.1187,5.6491,23.2633,66.2866,-31.7511,-44.6667,376.544,10.0762
EOG US Equity,EOG RESOURCES INC,2019,1,99.94,Oil & Gas,Oil & Gas Producers,17.5125,33.8185,15.876,30.779,30.5399,18.2806,1111.7647,1506.687,23.5706
EOP US Equity,EQUITY OFFICE PROPERTIES TR,2019,1,55.47,Financials,Real Estate Investment & Services,503.3575,360.0569,1.4282,1.8618000000000001,4.3708,0.144,-57.1429,233.932,28.7999
EP US Equity,EL PASO LLC,2019,1,29.64,Oil & Gas,"Oil Equipment, Services & Distribution",24.1757,26.8759,0.6569,6.5757,3.7904999999999998,22.0848,22.2222,394,23.7576
EPC GY Equity,EPCOS AG,2019,1,20.29,Industrials,Electronic & Electrical Equipment,13.0455,16.5412,4.5437,9.5126,9.8906,9.8906,60,30.170587999999995,6.8896
EQ US Equity,EQUILLIUM INC,2019,1,8.6,Health Care,Pharmaceuticals & Biotechnology,7.5647,4.2886,8.772,18.0972,NA,NA,1.4285999999999999,-2.2259,28.2115
EQIX US Equity,EQUINIX INC,2019,1,382.83,Financials,Real Estate Investment Trusts,73.7881,2305.5407,1.661,4.2461,4.6788,5.745,52.9412,265.753,18.9187
EQR US Equity,EQUITY RESIDENTIAL,2019,1,71.4,Financials,Real Estate Investment Trusts,67.5891,88.8074,3.2102,3.4786,6.4347,3.9069,-5.8824,219.306,33.2977
EQT US Equity,EQT CORP,2019,1,19.92,Oil & Gas,Oil & Gas Producers,8.7922,124.9879,-1.4685,1.9592,-3.8368,5.982,-70.8333,71.824,-32.1154
EQU FP Equity,EQUANT NV,2019,1,4.28,Technology,Technology Hardware & Equipment,NA,16.2046,6.5037,NA,65.6216,-19.8114,23.0896,1.3730079999999998,7.6427
ERA FP Equity,ERAMET,2019,1,59.9,Basic Materials,Industrial Metals & Mining,30.7291,16.5615,3.9049,-5.0669,13.1547,18.2661,14.9837,256.00399999999996,14.6023
ERF FP Equity,EUROFINS SCIENTIFIC,2019,1,353,Health Care,Health Care Equipment & Services,27.9199,38.1595,4.6891,7.4002,18.0323,19.812,21.1845,163.14572399999997,9.5905
ERU ID Equity,EIRCOM GROUP LTD,2019,1,2.19,Telecommunications,Fixed Line Telecommunications,27.75,12.0209,2.1224,6.6848,19.4543,19.4543,497.469,243.37599999999998,12.5222
ES US Equity,EVERSOURCE ENERGY,2019,1,68.14,Utilities,Electricity,21.1929,375.8641,2.9404,5.871,9.275,9.3464,10.9756,466.021,21.0712
ESRX US Equity,EXPRESS SCRIPTS HOLDING CO,2019,1,95.57,Health Care,Health Care Equipment & Services,15.5599,14.1965,9.1886,16.2751,26.8606,20.2558,29.2517,1488.6,5.2734
ESS US Equity,ESSEX PROPERTY TRUST INC,2019,1,269.95,Financials,Real Estate Investment Trusts,54.8437,37.8049,3.1364,3.4081,6.2203,5.2141,13.3758,109.412,32.1508
ESV US Equity,ENSCO ROWAN PLC - CLASS A,2019,1,18.08,Oil & Gas,"Oil Equipment, Services & Distribution",29.4233,3.0686,-4.6105,-3.2566,-7.8225,-6.2332,-312.5,-41.9,-21.5381
ETE GA Equity,NATIONAL BANK OF GREECE,2019,1,0.985,Financials,Banks,165.9876,2.2239,-0.355,-1.2353,-3.8787000000000003,-0.9887,80,NA,NA
ETFC US Equity,E*TRADE FINANCIAL CORP,2019,1,46.11,Financials,Financial Services,11.4002,7.6956,1.639,10.9055,16.8031,17.6638,122.9167,421,NA
ETL FP Equity,EUTELSAT COMMUNICATIONS,2019,1,18.775,Consumer Services,Media,15.1417,11.4417,3.7018,5.8433,10.6916,11.1104,-16.2868,312.83,39.2428
ETN US Equity,EATON CORP PLC,2019,1,75.21,Industrials,General Industrials,14.1226,15.78,6.7331,9.9031,12.8597,14.1658,1.3889,775,13.7258
ETR US Equity,ENTERGY CORP,2019,1,87.31,Utilities,Electricity,12.1763,59.7137,0.9469,3.8672,5.0921,16.3334,33.3333,271.035,8.1846
ETS US Equity,ENTERASYS NETWORKS INC,2019,1,13.88,Technology,Technology Hardware & Equipment,120,35.4503,9.867,17.6049,20.9494,-16.7811,68.75,-0.799,-10.3726
EUROB GA Equity,EUROBANK ERGASIAS SA,2019,1,0.535,Financials,Banks,7.1779,0.0324,0.2101,0.6167,2.2548,5.1897,0,NA,NA
EVHC US Equity,ENVISION HEALTHCARE CORP,2019,1,45.99,Health Care,Health Care Equipment & Services,35.657,22.2614,-11.7934,-11.458,-32.6316,3.4182,19.2308,-1818.3,-22.537
EVK GY Equity,EVONIK INDUSTRIES AG,2019,1,24.03,Basic Materials,Chemicals,11.9825,16.0908,5.1972,10.3613,13.5863,13.1068,44.8888,514.304,10.2428
EVRG US Equity,EVERGY INC,2019,1,56.71,Utilities,Electricity,23.9815,37.3888,NA,NA,NA,NA,NA,533.1,NA
EVT GY Equity,EVOTEC SE,2019,1,20.35,Health Care,Pharmaceuticals & Biotechnology,36.1777,23.5699,8.9408,12.435,17.8948,15.8561,1050,43.426544,19.9431
EW US Equity,EDWARDS LIFESCIENCES CORP,2019,1,168.23,Health Care,Health Care Equipment & Services,38.6715,51.748,13.1427,17.2706,23.6919,30.9096,-82.3529,-5.3,20.0978
EXC US Equity,EXELON CORP,2019,1,46.6,Utilities,Electricity,14.9368,56.7468,3.1409,7.5069,12.6421,10.3424,-11.6279,1146,12.5864
EXO IM Equity,EXOR NV,2019,1,55.22,Financials,Financial Services,12.5572,2.2817,3.9871,8.5673,11.1544,14.7729,7.9475,75.768,2.4803
EXPD US Equity,EXPEDITORS INTL WASH INC,2019,1,69.76,Industrials,Industrial Transportation,19.8567,23.0376,18.9252,30.8585,30.8073,28.8245,40.2985,203.154,9.9763
EXPE US Equity,EXPEDIA GROUP INC,2019,1,119.12,Consumer Services,Travel & Leisure,32.7088,16.671,2.3269,5.9236,9.8818,11.194,51.2931,672,6.6599
EXR US Equity,EXTRA SPACE STORAGE INC,2019,1,97.47,Financials,Real Estate Investment Trusts,32.4626,66.7473,7.1184,7.867,22.9803,16.1392,39.1892,153.591,48.9571
F IM Equity,FIAT SPA,2019,1,7.07,Consumer Goods,Automobiles & Parts,12.3268,10.1079,0.7743,6.3407,8.5673,18.7859,61460.4452,1061.8999999999999,2.4416
F US Equity,FORD MOTOR CO,2019,1,8.62,Consumer Goods,Automobiles & Parts,6.9455,4.8355,1.4279,2.4926,10.2839,14.1798,-37.5,632,1.9977
FAD SQ Equity,FADESA INMOBILIARIA SA,2019,1,23.35,Financials,Real Estate Investment & Services,11.2755,NA,4.1245,8.9058,27.5798,39.7283,26.1891,394.98087999999996,26.8951
FAE SQ Equity,FAES FARMA SA,2019,1,3.27,Health Care,Pharmaceuticals & Biotechnology,17.2632,18.8064,11.2916,13.3384,15.5281,15.4773,37.5,37.559115999999996,18.7526
FANG US Equity,DIAMONDBACK ENERGY INC,2019,1,102.6,Oil & Gas,Oil & Gas Producers,15.1317,NA,7.6467,10.5648,12.0676,13.0531,114.8649,228.391,50.0575
FAS IM Equity,LA FONDIARIA ASSICURAZIONI,2019,1,2.615,Financials,Nonlife Insurance,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAST US Equity,FASTENAL CO,2019,1,30.07,Industrials,Support Services,23.2995,34.8504,24.1303,28.6569,34.1804,33.7985,11.3208,233.4,20.1245
FB US Equity,FACEBOOK INC-CLASS A,2019,1,165.6,Technology,Software & Computer Services,22.0198,31.3746,24.3179,0.5929,27.9062,27.9062,63.2653,7820,44.6166
FBF US Equity,FLEETBOSTON FINANCIAL CORP,2019,1,45.34,Financials,Banks,17.2031,10.8759,1.33,5.4273,14.9258,14.8969,146.4286,NA,NA
FBHS US Equity,FORTUNE BRANDS HOME & SECURI,2019,1,43.34,Consumer Goods,Household Goods & Home Construction,13.6078,14.1674,6.7898,10.2962,16.3091,20.3736,-27.7108,140.1,10.8512
